,Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,Mohammed Shami (GT),2023-2023,17,17,390,65.0,2,522,28,4/11,18.64,8.03,13.92,2,-
1,MM Sharma (GT),2023-2023,14,14,265,44.1,-,361,27,5/10,13.37,8.17,9.81,2,1
2,Rashid Khan (GT),2023-2023,17,17,402,67.0,-,552,27,4/30,20.44,8.23,14.88,1,-
3,PP Chawla (MI),2023-2023,16,16,366,61.0,-,495,22,3/22,22.5,8.11,16.63,-,-
4,YS Chahal (RR),2023-2023,14,14,317,52.5,-,432,21,4/17,20.57,8.17,15.09,3,-
5,TU Deshpande (CSK),2023-2023,16,16,341,56.5,-,564,21,3/45,26.85,9.92,16.23,-,-
6,CV Varun (KKR),2023-2023,14,14,316,52.4,1,429,20,4/15,21.45,8.14,15.8,1,-
7,RA Jadeja (CSK),2023-2023,16,16,342,57.0,-,431,20,3/20,21.55,7.56,17.1,-,-
8,M Pathirana (CSK),2023-2023,12,12,278,46.2,-,371,19,3/15,19.52,8.0,14.63,-,-
9,Mohammed Siraj (RCB),2023-2023,14,14,300,50.0,-,375,19,4/21,19.73,7.5,15.78,1,-
10,Arshdeep Singh (PBKS),2023-2023,14,14,305,50.5,-,493,17,4/29,29.0,9.69,17.94,1,-
11,Noor Ahmad (GT),2023-2023,13,13,283,47.1,-,369,16,3/37,23.06,7.82,17.68,-,-
12,Ravi Bishnoi (LSG),2023-2023,15,14,303,50.3,-,391,16,3/28,24.43,7.74,18.93,-,-
13,B Kumar (SRH),2023-2023,14,14,306,51.0,1,425,16,5/30,26.56,8.33,19.12,-,1
14,A Madhwal (MI),2023-2023,8,8,153,25.3,-,219,14,5/5,15.64,8.58,10.92,1,1
15,R Ashwin (RR),2023-2023,13,13,294,49.0,-,368,14,2/23,26.28,7.51,21.0,-,-
16,JP Behrendorff (MI),2023-2023,12,12,252,42.0,-,387,14,3/23,27.64,9.21,18.0,-,-
17,HV Patel (RCB),2023-2023,14,13,282,47.0,-,454,14,3/32,32.42,9.65,20.14,-,-
18,Yash Thakur (LSG),2023-2023,9,9,191,31.5,-,289,13,4/37,22.23,9.07,14.69,1,-
19,DL Chahar (CSK),2023-2023,10,10,204,34.0,-,297,13,3/22,22.84,8.73,15.69,-,-
20,TA Boult (RR),2023-2023,10,10,228,38.0,3,312,13,3/29,24.0,8.21,17.53,-,-
21,NT Ellis (PBKS),2023-2023,10,10,228,38.0,-,339,13,4/30,26.07,8.92,17.53,1,-
22,MR Marsh (DC),2023-2023,9,8,121,20.1,1,170,12,4/27,14.16,8.42,10.08,1,-
23,M Markande (SRH),2023-2023,10,10,228,38.0,-,300,12,4/15,25.0,7.89,19.0,1,-
24,MA Wood (LSG),2023-2023,4,4,96,16.0,1,130,11,5/14,11.81,8.12,8.72,-,1
25,Naveen-ul-Haq (LSG),2023-2023,8,7,168,28.0,-,219,11,4/38,19.9,7.82,15.27,1,-
26,AR Patel (DC),2023-2023,14,13,282,47.0,-,338,11,2/13,30.72,7.19,25.63,-,-
27,SP Narine (KKR),2023-2023,14,14,288,48.0,-,383,11,3/33,34.81,7.97,26.18,-,-
28,M Theekshana (CSK),2023-2023,13,13,294,49.0,1,392,11,2/23,35.63,8.0,26.72,-,-
29,I Sharma (DC),2023-2023,8,8,150,25.0,-,206,10,2/19,20.6,8.24,15.0,-,-
30,KV Sharma (RCB),2023-2023,7,7,129,21.3,-,223,10,2/19,22.3,10.37,12.9,-,-
