,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,Shubman Gill (GT),2023-2023,17,17,2,890,129,59.33,564,157.8,3,4,1,85,33
1,F du Plessis (RCB),2023-2023,14,14,1,730,84,56.15,475,153.68,-,8,-,60,36
2,DP Conway (CSK),2023-2023,16,15,2,672,92*,51.69,481,139.7,-,6,1,77,18
3,V Kohli (RCB),2023-2023,14,14,2,639,101*,53.25,457,139.82,2,6,1,65,16
4,YBK Jaiswal (RR),2023-2023,14,14,1,625,124,48.07,382,163.61,1,5,1,82,26
5,SA Yadav (MI),2023-2023,16,16,2,605,103*,43.21,334,181.13,1,5,1,65,28
6,RD Gaikwad (CSK),2023-2023,16,15,1,590,92,42.14,400,147.5,-,4,-,46,30
7,DA Warner (DC),2023-2023,14,14,0,516,86,36.85,392,131.63,-,6,2,69,10
8,RK Singh (KKR),2023-2023,14,14,6,474,67*,59.25,317,149.52,-,4,-,31,29
9,Ishan Kishan (MI),2023-2023,16,15,0,454,75,30.26,318,142.76,-,3,-,54,18
10,C Green (MI),2023-2023,16,16,7,452,100*,50.22,282,160.28,1,2,-,40,22
11,H Klaasen (SRH),2023-2023,12,11,2,448,104,49.77,253,177.07,1,2,-,32,25
12,S Dube (CSK),2023-2023,16,14,3,418,52,38.00,264,158.33,-,3,-,12,35
13,N Rana (KKR),2023-2023,14,14,1,413,75,31.76,293,140.95,-,3,-,39,20
14,MP Stoinis (LSG),2023-2023,15,15,2,408,89*,31.38,272,150.0,-,3,2,28,27
15,VR Iyer (KKR),2023-2023,14,14,0,404,104,28.85,277,145.84,1,2,1,32,21
16,GJ Maxwell (RCB),2023-2023,14,14,2,400,77,33.33,218,183.48,-,5,2,29,31
17,JC Buttler (RR),2023-2023,14,14,0,392,95,28.00,282,139.0,-,4,5,42,14
18,KR Mayers (LSG),2023-2023,13,13,0,379,73,29.15,263,144.1,-,4,2,38,22
19,S Dhawan (PBKS),2023-2023,11,11,2,373,99*,41.44,261,142.91,-,3,1,49,12
20,WP Saha (GT),2023-2023,17,17,1,371,81,23.18,287,129.26,-,2,2,47,8
21,B Sai Sudharsan (GT),2023-2023,8,8,1,362,96,51.71,256,141.4,-,3,-,33,12
22,SV Samson (RR),2023-2023,14,14,2,362,66*,30.16,236,153.38,-,3,2,25,24
23,Prabhsimran Singh (PBKS),2023-2023,14,14,0,358,103,25.57,238,150.42,1,1,2,38,19
24,N Pooran (LSG),2023-2023,15,15,3,358,62,29.83,207,172.94,-,2,2,26,26
25,HH Pandya (GT),2023-2023,16,15,4,346,66,31.45,253,136.75,-,2,-,26,15
