,Player,Role,Team,Credits,Points
0,Cameron Green,Allrounder,MI,9.0,687.4
1,Suryakumar Yadav,Batter,MI,9.5,679.8
2,Piyush Chawla,Bowler,MI,8.0,657.5
3,Ishan Kishan,Keeper,MI,10.5,458.9
4,Tilak Varma,Batter,MI,9.0,427.1
5,Jason Behrendorff,Bowler,MI,9.0,373.4
6,Akash Madhwal,Bowler,MI,9.0,290.5
7,Rohit Sharma,Batter,MI,8.5,284.6
8,Tim David,Batter,MI,8.5,210.9
9,Chris Jordan,Bowler,MI,10.5,64.2
10,Nehal Wadhera,Bowler,MI,10.5,226.2
11,Jofra Archer,Allrounder,MI,10.5,92.7
0,Ravindra Jadeja,Allrounder,CSK,9.0,718.6
1,Ruturaj Gaikwad,Batter,CSK,9.5,651.9
2,Devon Conway,Batter,CSK,8.0,599.9
3,Tushar Deshpande,Bowler,CSK,10.5,402.8
4,Ajinkya Rahane,Batter,CSK,9.0,399.5
5,Shivam Dube,Allrounder,CSK,9.0,391.9
6,Moeen Ali,Allrounder,CSK,9.0,338.0
7,Matheesha Pathirana,Bowler,CSK,8.5,315.5
8,Deepak Chahar,Bowler,CSK,8.5,304.6
9,Maheesh Theekshana,Bowler,CSK,10.5,271.1
10,MS Dhoni,Keeper,CSK,10.5,141.9
11,Ambati Rayudu,Batter,CSK,10.5,141.2
