,Player,Team,Impact/Mat,Total Impact,Matches,Runs,Wkts
0,1Shubman Gill,GT,56.8,966.4,17,890,-
1,2Faf du Plessis,RCB,59.3,831.3,14,730,-
2,3Rashid Khan,GT,45.4,771.9,17,130,27
3,4Yashasvi Jaiswal,RR,52.2,731.9,14,625,-
4,5Mohammed Shami,GT,42.7,726.4,17,5,28
5,6Ravindra Jadeja,CSK,44.9,718.6,16,190,20
6,7Mohammed Siraj,RCB,49.7,696.1,14,1,19
7,8Cameron Green,MI,42.9,687.4,16,452,6
8,9Suryakumar Yadav,MI,42.4,679.8,16,605,-
9,10Axar Patel,DC,48.2,676.0,14,283,11
10,11Piyush Chawla,MI,41.0,657.5,16,25,22
11,12Ruturaj Gaikwad,CSK,40.7,651.9,16,590,-
12,13Devon Conway,CSK,37.4,599.9,16,672,-
13,14Glenn Maxwell,RCB,42.3,593.2,14,400,3
14,15Heinrich Klaasen,SRH,48.0,576.1,12,448,-
15,16Virat Kohli,RCB,39.8,557.7,14,639,-
16,17Marcus Stoinis,LSG,36.1,541.8,15,408,5
17,18Varun Chakravarthy,KKR,37.9,531.5,14,1,20
18,19David Warner,DC,35.6,498.7,14,516,-
19,20Kyle Mayers,LSG,37.7,490.8,13,379,-
20,21Bhuvneshwar Kumar,SRH,33.6,471.0,14,42,16
21,22Nicholas Pooran,LSG,31.3,469.8,15,358,-
22,23Ravichandran Ashwin,RR,36.0,468.3,13,67,14
23,24Noor Ahmad,GT,35.5,462.6,13,8,16
24,25Ishan Kishan,MI,28.6,458.9,16,454,-
25,26Krunal Pandya,LSG,30.5,458.7,15,188,9
26,27Ravi Bishnoi,LSG,30.4,457.0,15,20,16
27,28Prabhsimran Singh,PBKS,32.1,450.3,14,358,-
28,29Yuzvendra Chahal,RR,32.1,449.8,14,0,21
29,30Nitish Rana,KKR,31.9,447.9,14,413,3
30,31Arshdeep Singh,PBKS,31.0,435.0,14,2,16
31,32Mitchell Marsh,DC,47.9,431.8,9,128,12
32,33Rinku Singh,KKR,30.5,428.1,14,474,-
33,34Tilak Varma,MI,38.8,427.1,11,343,-
34,35Shikhar Dhawan,PBKS,37.5,413.0,11,373,-
35,36Hardik Pandya,GT,25.4,406.9,16,346,3
36,37Tushar Deshpande,CSK,25.1,402.8,16,0,21
37,38Ajinkya Rahane,CSK,28.5,399.5,14,326,-
38,39Venkatesh Iyer,KKR,28.4,398.7,14,404,-
39,40Mohit Sharma,GT,28.4,398.0,14,0,27
40,41Trent Boult,RR,39.7,397.7,10,16,13
41,42Shivam Dube,CSK,24.4,391.9,16,418,-
42,43Rahul Chahar,PBKS,27.9,391.7,14,0,8
43,44Sam Curran,PBKS,27.9,390.9,14,276,10
44,45Nathan Ellis,PBKS,38.8,388.9,10,1,13
45,46Andre Russell,KKR,27.5,385.6,14,227,7
46,47Jason Behrendorff,MI,31.1,373.4,12,6,14
47,48Sanju Samson,RR,25.8,362.0,14,362,-
48,49Harshal Patel,RCB,25.5,357.5,14,6,14
49,50Harpreet Brar,PBKS,27.0,351.8,13,52,9
50,51Jason Roy,KKR,42.5,340.4,8,285,-
51,52Moeen Ali,CSK,22.5,338.0,15,124,9
52,53Jos Buttler,RR,24.1,337.6,14,392,-
53,54Kuldeep Yadav,DC,24.0,336.3,14,31,10
54,55Jitesh Sharma,PBKS,23.7,333.1,14,309,-
55,56Matheesha Pathirana,CSK,26.2,315.5,12,0,20
56,57Sunil Narine,KKR,22.2,311.1,14,21,11
57,58Vijay Shankar,GT,22.0,308.4,14,301,-
