,Player,Team,Impact/Mat,Total Impact,Matches,Runs,Wkts
0,1Jos Buttler,RR,56.2,955.4,17,863,-
1,2Andre Russell,KKR,52.8,739.6,14,335,17
2,3Liam Livingstone,PBKS,52.1,730.2,14,437,6
3,4Hardik Pandya,GT,47.6,715.4,15,487,8
4,5Wanindu Hasaranga,RCB,44.2,708.5,16,38,26
5,6Yuzvendra Chahal,RR,41.0,698.1,17,5,27
6,7Rashid Khan,GT,42.8,685.7,16,91,19
7,8Ravichandran Ashwin,RR,39.1,664.7,17,191,12
8,9Glenn Maxwell,RCB,49.1,639.4,13,301,6
9,10Umesh Yadav,KKR,51.3,615.8,12,55,16
10,11Mohammed Shami,GT,37.8,605.8,16,0,20
11,12Kagiso Rabada,PBKS,45.9,597.6,13,48,23
12,13Sunil Narine,KKR,42.4,594.4,14,71,9
13,14Quinton de Kock,LSG,39.5,593.8,15,508,-
14,15KL Rahul,LSG,37.7,566.5,15,616,-
15,16Trent Boult,RR,35.2,564.6,16,40,16
16,17Sanju Samson,RR,32.4,551.4,17,458,-
17,18Deepak Hooda,LSG,35.9,538.7,15,451,1
18,19Mohsin Khan,LSG,58.4,525.7,9,23,14
19,20Prasidh Krishna,RR,30.5,518.7,17,6,19
20,21Rahul Tripathi,SRH,36.7,514.5,14,413,-
21,22Avesh Khan,LSG,39.0,507.7,13,22,18
22,23Jasprit Bumrah,MI,35.4,496.6,14,0,15
23,24Umran Malik,SRH,35.3,494.8,14,4,22
24,25Shubman Gill,GT,30.9,494.7,16,483,-
25,26Harshal Patel,RCB,32.6,489.9,15,43,19
26,27David Miller,GT,30.1,483.0,16,481,-
27,28Krunal Pandya,LSG,34.4,482.6,14,183,10
28,29Josh Hazlewood,RCB,39.0,468.0,12,18,20
29,30David Warner,DC,37.8,453.8,12,432,-
30,31Moeen Ali,CSK,45.2,452.9,10,244,8
31,32Nitish Rana,KKR,31.7,444.9,14,361,-
32,33Kuldeep Yadav,DC,31.7,444.3,14,48,21
