,Unnamed: 0,Player,Team,Uptox_Points,Matches,Runs,Wkts
0,0,Shubman Gill,GT,966.4,17,890,-
1,1,Faf du Plessis,RCB,831.3,14,730,-
2,2,Rashid Khan,GT,771.9,17,130,27
3,3,Yashasvi Jaiswal,RR,731.9,14,625,-
4,4,Mohammed Shami,GT,726.4,17,5,28
5,5,Ravindra Jadeja,CSK,718.6,16,190,20
6,6,Mohammed Siraj,RCB,696.1,14,1,19
7,7,Cameron Green,MI,687.4,16,452,6
8,8,Suryakumar Yadav,MI,679.8,16,605,-
9,9,Axar Patel,DC,676.0,14,283,11
10,10,Piyush Chawla,MI,657.5,16,25,22
11,11,Ruturaj Gaikwad,CSK,651.9,16,590,-
12,12,Devon Conway,CSK,599.9,16,672,-
13,13,Glenn Maxwell,RCB,593.2,14,400,3
14,14,Heinrich Klaasen,SRH,576.1,12,448,-
15,15,Virat Kohli,RCB,557.7,14,639,-
16,16,Marcus Stoinis,LSG,541.8,15,408,5
17,17,Varun Chakravarthy,KKR,531.5,14,1,20
18,18,David Warner,DC,498.7,14,516,-
19,19,Kyle Mayers,LSG,490.8,13,379,-
20,20,Bhuvneshwar Kumar,SRH,471.0,14,42,16
21,21,Nicholas Pooran,LSG,469.8,15,358,-
22,22,Ravichandran Ashwin,RR,468.3,13,67,14
23,23,Noor Ahmad,GT,462.6,13,8,16
24,24,Ishan Kishan,MI,458.9,16,454,-
25,25,Krunal Pandya,LSG,458.7,15,188,9
26,26,Ravi Bishnoi,LSG,457.0,15,20,16
27,27,Prabhsimran Singh,PBKS,450.3,14,358,-
28,28,Yuzvendra Chahal,RR,449.8,14,0,21
29,29,Nitish Rana,KKR,447.9,14,413,3
30,30,Arshdeep Singh,PBKS,435.0,14,2,16
31,31,Mitchell Marsh,DC,431.8,9,128,12
32,32,Rinku Singh,KKR,428.1,14,474,-
33,33,Tilak Varma,MI,427.1,11,343,-
34,34,Shikhar Dhawan,PBKS,413.0,11,373,-
35,35,Hardik Pandya,GT,406.9,16,346,3
36,36,Tushar Deshpande,CSK,402.8,16,0,21
37,37,Ajinkya Rahane,CSK,399.5,14,326,-
38,38,Venkatesh Iyer,KKR,398.7,14,404,-
39,39,Mohit Sharma,GT,398.0,14,0,27
40,40,Trent Boult,RR,397.7,10,16,13
